task_id,failure_analysis,category
BigCodeBench/443,"The task is to multiply a matrix with a 3D tensor, flatten the outcome, apply KMeans clustering, and visualize the clustered data. Across models, the core failure was a shared misunderstanding of what “flatten the result” meant relative to the hidden reference pipeline and tests: instead of producing a specific samples-by-3 layout and a single scatter of all points, several models collapsed everything to one dimension or kept the wrong sample count, so their clustering and plots no longer matched the test expectations. deepseek-v3, llama-3-3, and qwen3-coder flattened to a single feature, which often yielded only 2 clusters and too many plotted points; gpt-4o formed too few samples (then crashed when clusters exceeded samples); mistral-3-2 used a transposed layout that changed the sample count; and sonnet-4 drew multiple scatters, so the test—expecting one collection—counted only a subset of points. Many also failed the strict label-equality check (“bool has no attribute all”) because their preprocessing diverged from the canonical one, and several ignored the fixed tensor shape. A contributing issue is that the prompt is a bit vague (“flatten the result”) while the tests impose a very specific interpretation and plotting style, creating an easy mismatch between reasonable implementations and the exact requirements.","Flawed/Incomplete Algorithm, Wrong Problem Mapping, Formatting Mistakes"
BigCodeBench/458,"The task is to take a JSON string, double all its numeric values, and return the result as a pandas DataFrame. Across models, most failures came from two misunderstandings: how to build the DataFrame when lists are present and how to treat numeric-looking strings. gpt-4o, llama-3-3, and qwen3-coder flattened everything into a single row, ignoring that list columns imply multiple rows with scalars broadcast to match—hence widespread shape mismatches and the wrong result for the empty dict case. deepseek-v3 and mistral-3-2 instead tried to build a table from all-scalar dictionaries and crashed; mistral-3-2 also tripped on a nested dict inside a list by trying to “regex” non-strings. For numeric strings, llama-3-3 and mistral-3-2 extracted digits inside any text (over-eager), while qwen3-coder and sonnet-4 edited strings or forced floats, producing values like “10.0” where the tests expect integer 10. Overall, the prompt’s line “numerical values stored as floats” and the phrase “strings that can be interpreted as numbers” may have nudged models toward over-conversion, but the tests and reference logic clearly expect only fully numeric strings to become numbers, broadcasting when lists exist, and preserving integer results when appropriate.","Flawed/Incomplete Algorithm, Formatting Mistakes, Edge Case Mishandling"
BigCodeBench/486,"The task is to generate and plot a time series between two epoch times with a given step, random variation, and a linear trend. The task is to generate and plot a time series between two epoch times with a given step, random variation, and a linear trend. Across models, failures stemmed from three simple misreads: missing basic input checks, misinterpreting time units, and not matching the test’s brittle labeling expectation. deepseek-v3, gpt-4o, qwen3-coder, and sonnet-4 all generated reasonable-looking plots but skipped the “start > end must raise” guard and relied on auto-formatted datetime ticks, so the year “1970” didn’t reliably appear as the test expects. llama-3-3 veered off-spec by treating inputs like datetimes/timedeltas, which let it run but still miss the label expectation and validation. mistral-3-2 changed the interface entirely (expecting ISO dates and pandas frequency strings), clashing with the integer millisecond inputs in the tests and failing early. A contributing factor is the prompt/docs saying epoch milliseconds while several models implicitly assumed seconds; combined with a test (case 8) that specifically looks for “1970” on tick labels, this created avoidable mismatches. Overall, the models behaved sensibly at a glance, but small contract and formatting assumptions—unseen by them at generation time—caused systematic, predictable failures.","Wrong Problem Mapping, Formatting Mistakes, Edge Case Mishandling"
BigCodeBench/492,"The task is to generate daily random sales data for five products starting from a given epoch time up to the current time. Across models, failures mostly came from three mismatches with the tests rather than from core generation logic. First, several models (deepseek-v3, qwen3-coder, sonnet-4) interpreted the prompt’s phrasing “between the date of the given epoch time” literally and normalized timestamps to midnight, while the tests require preserving the exact start timestamp—including time-of-day—so their first row didn’t match. Second, others (gpt-4o, llama-3-3, deepseek-v3) enforced “epoch must be an integer,” but the tests pass floating-point millisecond values, causing premature errors. Third, many (gpt-4o, deepseek-v3, mistral-3-2, qwen3-coder, sonnet-4; llama-3-3 partly) didn’t fully validate that products are exactly five unique items, and some (gpt-4o, llama-3-3, mistral-3-2) skipped the future-time check, leading to missed exceptions. A minor oddity is the duplicate stub-then-final function some models emitted, which didn’t cause the failures but shows uncertain drafting. Overall, the main driver is ambiguity between “date” (suggesting day-level) and the tests’ expectation of exact datetimes, plus a mismatch between the prompt’s “int” wording and test inputs, which set traps that several models—each in slightly different ways—fell into.","Flawed/Incomplete Algorithm, Edge Case Mishandling"
BigCodeBench/501,"The task is to take a JSON string and convert it into an Excel .xls file, correctly handling empty arrays and returning the file path. Across the board, the models mostly failed because they wrote Excel via pandas’ writers in an environment that didn’t have the required engines for .xls, while the task and tests clearly lean on xlwt (and the canonical solution avoids pandas writers entirely). gpt-4o and mistral-3-2 hard-picked the xlsxwriter route, which wasn’t installed and also clashes with the .xls expectation; llama-3-3 and qwen3-coder relied on pandas auto-selection, which couldn’t find any engine for .xls; sonnet-4 mixed approaches—using xlwt only for empty sheets but pandas for non-empty—so it still hit the missing-engine wall; and deepseek-v3 added a filesystem misstep (trying to create a directory from an empty path) that blocked all tests. The prompt and tests aren’t faulty, but they implicitly expect direct xlwt usage; most models overlooked that cue, chose a pandas-writer approach, and ran into a predictable environment mismatch rather than a logic error.","Flawed/Incomplete Algorithm, Wrong Problem Mapping"
BigCodeBench/503,"The task is to generate a pandas DataFrame of random stock prices for a given number of past days, ending with today. Across models, most failures stem from two broad issues: missing input checks and fragile date handling. deepseek-v3, gpt-4o, mistral-3-2, and sonnet-4 all skipped validation, so they didn’t raise the expected errors for bad inputs; deepseek-v3 and gpt-4o (also mistral-3-2) further used time-stamped dates, so tiny timing differences made supposedly identical runs disagree. llama-3-3 miscounted the required days, producing one extra row (showing up even more clearly on the leap-year test), while qwen3-coder built the date index in a way the tests didn’t expect, triggering attribute errors. A small spec inconsistency likely added confusion: the prompt says prices should be in [0,1), but the reference/example suggests larger values—fortunately, tests only check that values are numeric. Overall, the tests strongly assume stable, day-based dates and explicit validation; when models (like sonnet-4) handled dates at the day level they were fine on reproducibility, but most failed by overlooking these simple contract details.","Flawed/Incomplete Algorithm, Edge Case Mishandling"
BigCodeBench/509,"The task is to compare two CSV files and generate a report in a DataFrame showing line-by-line differences with their status and content. Across models, failures stemmed from treating CSVs as plain text rather than structured rows, which skewed the reported content and introduced spurious “?” diff hints; this led to mismatched outputs versus the example that clearly implies row-wise comparison and tuple-like content. Several systems (e.g., deepseek-v3, sonnet-4, mistral-3-2) also wrapped the required empty-file ValueError into a generic Exception, breaking the tests’ expectations. Line numbering was another common pitfall: many (gpt-4o, qwen3-coder, llama-3-3) tracked per-file line numbers or produced duplicates/gaps instead of the simple sequential positions the tests expect. Overall, the prompt’s phrasing “line number in the file” is a bit ambiguous and likely nudged models toward per-file counting, while the provided example and canonical behavior actually expect the diff sequence index; that mismatch, plus inconsistent error propagation, explains the widespread divergence.","Wrong Problem Mapping, Edge Case Mishandling"
BigCodeBench/511,"The task is to analyze employee data by computing basic statistics for a chosen column and visualizing the results with a pie chart labeled by ages. All models stumbled because they implicitly treated the employee data as records with named fields instead of the specified list-of-lists [Age, Salary, Experience], so their DataFrames didn’t align with the required column names and everything downstream broke. Deepseek-v3, Llama-3-3, Mistral-3-2, and Qwen3-coder hit immediate missing-column errors; GPT-4o silently fell back to default stats (never computing anything) and failed to raise the required error for an invalid column; Sonnet-4 enforced the wrong error type and aborted even on valid inputs. Several also drifted from the intended pie-chart behavior (e.g., GPT-4o and Mistral-3-2 plotting age counts; Qwen3-coder altering label text), which would have failed the label/slice checks even if earlier issues hadn’t stopped them. A few responses were noisy (duplicate function stubs, extra examples), hinting at prompt-following instability. The tests are strict but consistent with the spec; the only friction point is that the natural “employee data” phrasing nudged models toward a dict-based assumption, while the doc_struct clearly fixes the format—missing that detail explains the cascade of failures.","Wrong Problem Mapping, Edge Case Mishandling"
BigCodeBench/526,"The task is to read a JSON file of dictionaries and create a Pandas DataFrame showing the mean and median for each key. Across all models (deepseek-v3, gpt-4o, llama-3-3, mistral-3-2, qwen3-coder, sonnet-4), the core failure was a shared misunderstanding of the task’s intent: they treated “ignore non-numeric or missing values” as a reason to exclude keys entirely if those keys never had a numeric value, instead of keeping every key in the union and yielding NaN statistics when appropriate. This led to missing rows in the index (e.g., key “b” in mixed or missing cases) and, in fully non-numeric inputs, to empty DataFrames that triggered KeyErrors. The tests and doc text clearly required including all keys and returning NaN when no numeric data exist, so the issue lies with model behavior rather than ambiguous prompts or flawed tests. Minor quirks appeared—deepseek-v3, gpt-4o, and others emitted duplicate function stubs, and sonnet-4 tried to fabricate sample data on file errors—but these were incidental; the principal cause of failure was not constructing results for keys lacking numeric entries, which broke expectations about the sorted union index and NaN outputs.","Flawed/Incomplete Algorithm, Edge Case Mishandling"
BigCodeBench/528,"The task is to read a CSV file, detect duplicate rows, and visualize their counts in a bar chart. Across models, failures largely stem from small but strict test expectations rather than core logic: most systems (deepseek-v3, gpt-4o, llama-3-3, mistral-3-2, qwen3-coder, sonnet-4) produced sensible duplicate detection and plotting, but used human-friendly plot titles (e.g., “Duplicate Rows…”) instead of the exact “Duplicate Entries,” and several (notably deepseek-v3, gpt-4o, llama-3-3, mistral-3-2, qwen3-coder, sonnet-4) returned an Axes even when no duplicates existed, while the tests require ax to be None then. Some approaches added extra “helpfulness” that backfired against the tests: mistral-3-2 and sonnet-4 converted missing-file errors into ValueError (the tests expect FileNotFoundError), and multiple models drew empty “no duplicates” charts, which the tests reject. The prompt is generally clear, but the tests impose hidden, exact UI strings and ax behavior not emphasized in the description, creating a mismatch: models that aimed for better UX or broader error handling were penalized by strict assertions rather than faulty duplicate logic.",Formatting Mistakes
BigCodeBench/553,"The task is to generate a random pandas DataFrame based on two input lists and plot it as a bar chart, always returning a valid plot object. Across all models (deepseek-v3, gpt-4o, llama-3-3, mistral-3-2, qwen3-coder, sonnet-4), the core failure was the same: they happily handled the “normal” case but didn’t account for empty inputs, so when either a or b (or both) were empty, they tried to plot an empty DataFrame and crashed with pandas errors; the tests, however, implicitly require returning a valid (even blank) Axes in those cases. This gap stems partly from the prompt, which doesn’t spell out the empty-input behavior, while the tests and canonical solution enforce it—so the spec is a bit under-specified and the tests are stricter than the plain reading. Secondary quirks also appeared: gpt-4o added an unnecessary hard error when b exceeds the predefined names (stricter than required), and qwen3-coder/sonnet-4 didn’t clamp column names, risking a mismatch if b were longer (not hit by the given tests). Several responses duplicated stubs or included extra example code (e.g., deepseek-v3, gpt-4o), suggesting prompt-literalism rather than careful edge-case thinking. In short, the models implemented the happy path but overlooked the test-driven contract around empty inputs, which is what actually caused the failures.",Edge Case Mishandling
BigCodeBench/560,"The task is to parse a yearly data string and plot a bar chart of monthly values, returning the corresponding matplotlib Axes object. In this task, all models failed mainly because they misunderstood the required input format and validation rules defined by the prompt and tests. The function was supposed to take a simple string of ""yyyy-mm-value"" entries, but DeepSeek-v3 assumed a dictionary, GPT-4o, Mistral-3-2, and Qwen3-coder expected a DataFrame, Llama-3-3 enforced a strict 12-month list, and Sonnet-4 treated the input as tuples of dates and values. These mismatches caused type errors or incorrect behavior in every case. Several models also used the current year for the chart title instead of extracting it from the data, and most skipped the required error checks for empty input or mixed years. Llama-3-3 in particular over-constrained the data by demanding exactly twelve months, while Sonnet-4 returned an empty plot instead of raising an error. Overall, the failures reflect a strong bias toward common data-science conventions (dicts, DataFrames, fixed monthly data) rather than following the exact contract given in the prompt and tests.","Wrong Problem Mapping, Edge Case Mishandling"
BigCodeBench/567,"The task is to create a function that takes a dash-separated string of numbers and draws a histogram showing their frequency distribution. Across models, the failures mostly stem from misreading the input format and overlooking what the tests actually assert. The task (and doc_struct) clearly says the numbers are dash-separated, yet deepseek-v3, gpt-4o, llama-3-3, mistral-3-2, and qwen3-coder all assumed spaces/commas, causing immediate parse errors on strings like “1-2-3.” Even when parsing didn’t crash (e.g., the single value “7”), most models relied on Matplotlib’s default ticks, so auto-generated decimal ticks didn’t match the tests’ expectation of ticks exactly equal to the unique data values; this explains the recurring “[6.4, 6.6, …, 7.6] vs [7]” assertions. Sonnet-4 went further off by using a regex that treated hyphens as minus signs, flipping values negative and producing obviously wrong tick ranges. A minor oddity is that several responses included duplicate function definitions, but that didn’t drive the failures. One prompt/test misalignment likely contributed: while bins and labels are specified, the requirement to set x-ticks to the discrete data values is only implied by the tests and the canonical solution, not stated explicitly—making it easy for otherwise reasonable plotting code to fail strict tick checks.",Formatting Mistakes
BigCodeBench/579,"The task is to read text from a CSV file, normalize it to ASCII, count word frequencies, and return the top 10 words along with a bar chart. Across models, two broad issues drove failures: environment-triggered plotting crashes and a hidden case-sensitivity mismatch. deepseek-v3, gpt-4o, qwen3-coder, and sonnet-4 added extra plotting layout steps that tripped a font/layout error in the grading environment, so their code failed before logical checks; deepseek-v3 also assumed text was only in the first CSV column, which would undercount. llama-3-3 and mistral-3-2 avoided the plotting crash but treated counting as case-insensitive, so “Café” normalized to “cafe,” conflicting with the tests’ expectation of “Cafe.” Several answers also showed generation artifacts (duplicate stubs or stray lines), hinting at unstable completions but not primary failure causes. A prompt/test misalignment contributed: the instructions never specify case rules, yet the tests implicitly require preserving case after ASCII normalization, and they are sensitive to environment-fragile plotting choices.","Flawed/Incomplete Algorithm, Edge Case Mishandling"
BigCodeBench/582,"The task is to generate normally distributed random numbers, plot their histogram with a probability density function, and return the resulting figure. In this task, all models produced visually reasonable solutions but failed the tests for the same underlying reason: they hard-coded the number of histogram bins instead of matching the test’s hidden requirement of using automatic bin calculation. Deepseek-v3, GPT-4o, Llama-3-3, Mistral-3-2, and Sonnet-4 all defaulted to 30 bins, while Qwen3-coder used 50, leading to mismatches with the expected 28 bins. Some models, like Llama-3-3 and Mistral-3-2, also introduced unnecessary randomness seeding, but this did not affect the outcome. The key issue is not that the models misunderstood the prompt—which did not specify how to choose bins—but that the test cases enforced a stricter interpretation based on “auto” binning, creating a mismatch between what seemed correct to the models and what the evaluation demanded. This highlights how hidden test constraints, rather than poor model reasoning, primarily drove the failures.",Edge Case Mishandling
BigCodeBench/583,"The task is to generate an RSA key pair, encrypt the private key with AES, save it to a uniquely named file, and return the public key along with encryption details. Across this task, all models showed consistent struggles because the tests required very specific conditions that were not clearly emphasized in the prompt—most importantly that the RSA key must be 512 bits, the AES mode must be EAX, and the encrypted private key must be stored as base64 text rather than raw binary or other formats. Deepseek-v3 and GPT-4o defaulted to 2048-bit keys and used AES-GCM, which immediately broke compatibility with the tests. Llama-3-3 and Mistral-3-2 both ran into simple type-handling mistakes that caused their code to crash outright, on top of also using the wrong key size and output format. Qwen3-coder attempted a more elaborate approach by writing PEM-like headers and extra information, but this clashed with the test’s expectation of a plain base64 string. Sonnet-4 came closest in structure, using the right AES mode, but still failed because it included unnecessary data in the file and also defaulted to 2048-bit keys. Overall, the failures show a common pattern: the models followed general cryptography habits (using larger keys, adding authentication data, or structuring files) rather than matching the very strict and somewhat hidden requirements in the tests, leading to systematic mismatches.","Flawed/Incomplete Algorithm, Formatting Mistakes"
BigCodeBench/592,"The task is to generate simulated sensor data for a given number of hours and save it into a CSV file with the required columns. Across all models, the main source of failure came from not following the strict expectations of the tests, often due to small but important misunderstandings. Several models such as deepseek-v3, qwen3-coder, and sonnet-4 chose to generate timestamped filenames instead of the fixed one the tests required, which caused the file not to be found. Others like llama-3-3 and mistral-3-2 misinterpreted “generate data for hours” as producing per-minute values, leading to far too many rows. Some, including gpt-4o, simply printed the output instead of returning it, or returned the wrong path, again failing the tests. These issues were reinforced by ambiguities in the prompt and documentation: the description of the return value conflicted with the tests, and the wording about generating data “for hours” was open to different interpretations. Overall, the models often produced reasonable-looking solutions from a general coding perspective, but small deviations from the precise contract defined by the tests led to consistent failures.","Wrong Problem Mapping, Formatting Mistakes"
BigCodeBench/593,"The task is to generate random traffic data for different vehicle types over time, save it to a CSV file, and plot the results on a line chart. All models missed the test suite’s very specific contract, which went beyond the natural reading of the prompt, so otherwise “reasonable” choices caused failures. Several (mistral-3-2, qwen3-coder, sonnet-4) wrote files with timestamped names and created directories in a more robust way, but the tests demanded one fixed path and an exact call pattern. Others (deepseek-v3, gpt-4o) skipped the read-back step the tests explicitly check for, and some (llama-3-3, deepseek-v3, qwen3-coder) didn’t trigger the expected plotting call. The common edge case—zero hours—was also mishandled: instead of treating it as “no plot,” many still produced a chart or even errored. Overall, these failures reflect a mismatch between pragmatic coding habits and brittle test expectations; the prompt itself didn’t clearly state those strict behaviors (fixed filename, enforced read-back, mandatory plot display, special zero-hour handling), so models that followed sensible approaches still failed the tightly specified tests.","Formatting Mistakes, Edge Case Mishandling"
BigCodeBench/594,"The task is to generate weather data for a given number of hours, save it as a CSV file, and create a backup copy in a designated folder. Across all models, failures mainly stem from drifting from the task’s very specific contract rather than from generating CSV rows themselves. The tests expect a fixed file name and a backup to a precise directory, plus an explicit check that this backup folder exists; many models ignored or reinterpreted these constraints. deepseek-v3, llama-3-3, and mistral-3-2 favored “more robust” behaviors (like inventing timestamped names or different copy methods), which broke the strict expectations. gpt-4o changed the backup destination to a different place and name, while qwen3-coder put the backup under the output folder but still didn’t follow the exact checking and call pattern the tests look for. sonnet-4 was closest on paths yet still didn’t match the expected verification and copy behavior. In short, the models optimized for general practicality, but the prompt and tests demand exact paths, names, and a particular sequence of actions; that mismatch—rather than logic errors—caused most of the failures.","Formatting Mistakes, Edge Case Mishandling"
BigCodeBench/618,"The task is to generate a small football results table for fixed teams with random goals and penalty fines, and create two simple plots showing these values. Across models, the main failure came from not matching the strict output schema the tests expect: a 5-row table (one per listed team) with exactly the columns “Team,” “Goals,” and “Penalty Cost.” Several models—deepseek-v3, llama-3-3, qwen3-coder, and sonnet-4—added a raw “Penalties” column, making the shape wrong; gpt-4o also generated 10 rows instead of one per team; and mistral-3-2 diverged furthest by building a home/away match format, so the required columns weren’t present at all. These choices suggest a common reading: “penalties are converted into fines” was taken to mean “include both penalties and their converted fines,” which is reasonable in everyday analysis but conflicts with the tests’ exact column list. Minor quirks like duplicated headers appeared but weren’t the cause. In short, small schema mismatches—amplified by slightly ambiguous wording in the prompt versus very strict tests—explain nearly all failures.","Wrong Problem Mapping, Edge Case Mishandling"
BigCodeBench/636,"The task is to create a DataFrame with random numbers, count non-zero values in each column, and show these counts in a bar plot. All models, including Deepseek-v3, GPT-4o, Llama-3-3, Mistral-3-2, Qwen3-coder, and Sonnet-4, produced reasonable solutions for the main task of generating data and plotting counts, but they consistently failed on the edge cases. The failures occurred because none of them handled situations where the number of rows was zero or negative: instead of returning empty results as the tests required, they either produced empty bars on the chart or triggered errors. This shows that while the models correctly addressed the “normal” scenario, they did not anticipate hidden expectations in the tests, which were not clearly stated in the prompt. Some models also added unnecessary stubs or stylistic differences, but the critical issue was a mismatch between the test design and the prompt, leading to uniform failure across systems.",Edge Case Mishandling
BigCodeBench/654,"The task is to fit an exponential decay curve to the row indices of a 2D array where the first column matches a given target value. Across models, most failures stem from misunderstanding the task’s intent—fit an exponential to the indices where the first column matches—combined with weak edge-case handling enforced by the tests. deepseek-v3, llama-3-3, and mistral-3-2 incorrectly tried to fit values from another column, which in the provided tests are strings, leading to type issues and non-convergent fits; they also tripped on arrays with only one column. gpt-4o similarly hit an index error on the “not enough points” case. qwen3-coder took the right general approach (using indices) but didn’t guard against too few matches and suffered convergence failures. sonnet-4 avoided crashes but violated the requirement to raise a ValueError for insufficient data. Overall, the prompt is clear but easy to misread (“fit to the indices”), and the tests intentionally use string data and a strict “<3 points → ValueError” rule to expose such misreads and missing checks, while also implicitly requiring robust fitting (increased evaluation budget) to pass.","Wrong Problem Mapping, Edge Case Mishandling"
BigCodeBench/655,"The task is to extract topics from a collection of text documents using preprocessing, TF-IDF vectorization, and Non-Negative Matrix Factorization (NMF). Across models, most failures stemmed from a mismatch between the prompt’s stated output and the tests’ hidden expectations, plus weak handling of edge cases. The prompt says to return a list of topic-word lists, but the tests sometimes expect a tuple with an extra None on empty or stopword-only input and a raised error for zero topics—requirements not signposted in the instruction. As a result, gpt-4o, llama-3-3, and mistral-3-2 crashed when texts were empty or reduced to only stopwords; they didn’t guard for “no vocabulary” scenarios. deepseek-v3 additionally broke the tests by altering the global stopword object in a way the tests couldn’t slice. qwen3-coder tweaked vectorizer settings that backfired on a single document, causing an error unrelated to topic extraction itself. sonnet-4 tried to be defensive but returned an empty list instead of raising the required error and didn’t follow the tuple return the tests expect. In short, the main logic was generally fine, but small spec gaps between the prompt and the test contract, plus brittle choices around edge inputs, led to systematic failures.","Flawed/Incomplete Algorithm, Edge Case Mishandling"
BigCodeBench/657,"The task is to clean a list of texts, remove stopwords, and train a Word2Vec model on the processed data. Across models, the main reason for failure was a mismatch between what the tests expected and what the models produced. Most models, including Deepseek-v3, Llama-3-3, Mistral-3-2, Qwen3-Coder, and Sonnet-4, failed because they did not handle the case of empty input texts, which the tests required to return a valid Word2Vec object without training. GPT-4o failed for a different reason: it changed the function’s parameter name, so the tests could not call it correctly. Some models also showed risky habits, like naming conflicts (Deepseek-v3, Llama-3-3) or undefined defaults (Qwen3-Coder), that did not always break in the given tests but reflect unstable reasoning. Overall, the failures highlight how the prompt’s instructions and the hidden test cases place strict requirements on small details—such as exact parameter names and handling of edge cases—that the models often overlooked.","Formatting Mistakes, Edge Case Mishandling"
BigCodeBench/720,"The task is to create a function that generates random temperature and humidity data, writes it to a CSV file, and returns the file path. All models failed on this task mainly because they followed the prompt’s instruction to delete the file after use, while the hidden tests required the file to remain for validation, creating a direct conflict between specification and evaluation. This mismatch explains why every system—whether DeepSeek, GPT-4o, LLaMA-3, Mistral, Qwen, or Sonnet—produced the same file-not-found errors during testing. Beyond this common issue, models also showed secondary inconsistencies: some (like GPT-4o, Mistral, and Sonnet) generated multiple rows instead of one, others (such as DeepSeek, LLaMA-3, Qwen, and Sonnet) used data ranges outside what the tests expected, and Qwen even returned an absolute rather than relative file path. These behaviors show that while the systems attempted to satisfy the ambiguous natural-language prompt, the underlying contradiction between the prompt and the test cases guaranteed failure regardless of their different approaches.","Wrong Problem Mapping, Formatting Mistakes"
BigCodeBench/723,"The task is to scrape tabular data from a webpage and save it into a CSV file. Across models, most failures came from not matching the task’s hidden contract enforced by the tests: scrape the specific data-table table, return the CSV path, and raise errors when no table or URL is invalid. deepseek-v3 tripped over how it fetched/parsed the page and then tried to scrape generic paragraphs instead of the target table. gpt-4o assumed a headerized table and handled “no table” gently rather than erroring, leading to crashes or silent exits. llama-3-3 and mistral-3-2 both wrapped everything in broad “be safe” logic (status checks or catch-all exceptions) that prevented the expected exceptions and even the write from happening. qwen3-coder and sonnet-4 pursued flexible, fallback-heavy scraping (links, headings, generic text), which looks robust in the wild but diverges from the benchmark’s narrow expectations. A test-suite quirk also contributed: it’s interaction-driven and strict, so small deviations in how files are opened or how CSVs are written cause failures even when the overall idea is reasonable. In short, the models generally favored generic, resilient scraping patterns, but the benchmark rewards precise adherence to a very specific behavior contract.",Flawed/Incomplete Algorithm
BigCodeBench/771,"The task is to process CSV files in a directory by matching their names to a pattern and creating new copies with simplified filenames. Across models, failures mostly stem from mismatches with the test harness rather than core CSV copying logic. Several (deepseek-v3, sonnet-4, mistral-3-2, qwen3-coder) avoided os.listdir and instead scanned the filesystem differently, so the tests’ mocked directory contents were never seen, leading to empty outputs and missed error propagation. Others added guardrails that short-circuited the intended behavior: gpt-4o returned early on missing directories (so the mocked file error was never raised), while mistral-3-2 and qwen3-coder raised a different exception than the test expected. Some also deviated from the required outputs—deepseek-v3 returned full paths, and gpt-4o/sonnet-4 changed filenames (e.g., adding a suffix)—and llama-3-3 tripped over how the tests verify file opens. The prompt is mostly clear about outcomes, but it doesn’t hint that the tests depend on specific I/O choices (using os.listdir, returning bare filenames, and matching the test’s call expectations), which made “reasonable” alternative approaches brittle under this test setup.","Formatting Mistakes, Edge Case Mishandling"
BigCodeBench/785,"The task is to create a function that archives files matching a given pattern and deletes the originals, returning the result. In this task, all models failed mainly because of a mismatch between the written instructions and the hidden test expectations. The prompt suggested always returning an archive file path, but the tests actually required returning a fixed message string when no files matched. Models like deepseek-v3, gpt-4o, and mistral-3-2 chose to raise errors in that situation, while llama-3-3, qwen3-coder, and sonnet-4 created and returned empty archive files instead; both approaches contradicted the tests, which expected a specific string and no archive. This inconsistency led to systematic failures across different scenarios, especially when no matching files existed or when the archive directory had been removed. The issue highlights how unclear prompts and test designs that rely on hidden requirements can easily mislead models, even when their reasoning seems consistent with the given instructions.",Edge Case Mishandling
BigCodeBench/800,"The task is to read goal and penalty counts from a CSV file, add new values provided as input, and return the total as a Counter object. Across models, failures mostly stem from misreading the inputs and mishandling the file: several (gpt-4o, sonnet-4, mistral-3-2, qwen3-coder) treated the goals and penalties dictionaries as single numbers, which caused type errors; deepseek-v3 read the CSV without checking if it exists, leading to file-not-found crashes; and llama-3-3 returned None when the file was missing, violating the expected Counter return. A few approaches also tried to “update” the CSV content (deepseek-v3, qwen3-coder), which wasn’t required and distracted from the simple counting task. The prompt likely contributed to confusion: the phrase “update it with the given goals and penalties” and the starter signature without type hints can make models assume scalar inputs, while tests quietly rely on file-absence tolerance and even mix Counter vs plain dict equality (e.g., test 4), adding mild inconsistency. In short, most errors reflect a shallow read of the spec (dict inputs, optional CSV) and unnecessary side effects, rather than complexity of the task itself.","Flawed/Incomplete Algorithm, Edge Case Mishandling"
BigCodeBench/82,"The task is to build a simple Flask app with user authentication using Flask-Login, including login, logout, and a protected page. Across models, failures mostly stem from drifting from the task’s narrow contract rather than core Flask-Login usage: several systems tried to “improve” the app and broke the tests’ assumptions. deepseek-v3 changed route names/redirect targets and omitted the required /protected endpoint, yielding 404s; gpt-4o and llama-3-3 rendered a non-existent protected template, causing errors instead of returning the simple text the tests look for; mistral-3-2 compounded that with template setup issues, making even the login page fail; qwen3-coder rendered a protected template that exposed the test’s mocked user object, so the expected plain message didn’t appear; and sonnet-4 ended up returning no app at all due to a truncated redefinition. A common behavioral pattern was adding extra UX (templates, dashboards, flashes) or duplicating definitions, which conflicted with the test harness, whose logic mocks authentication and expects a very specific string response. The prompt’s mention of “template rendering” may have nudged models to overuse templates—while the tests only provide login.html and require /protected to return plain text—creating a subtle prompt/test mismatch that helped trigger these errors.","Flawed/Incomplete Algorithm, Wrong Problem Mapping"
BigCodeBench/857,"The task is to move files from one folder to another based on given file extensions, while reporting any files that could not be transferred. Across models, failures stem from two themes: wording mismatches against strict tests and a misunderstanding of what “transfer” means here. deepseek-v3, gpt-4o, and mistral-3-2 mostly followed the intended flow but failed because their warning messages didn’t include the exact phrase the tests look for (“Unable to move file”), so even correct behavior read as wrong. llama-3-3, qwen3-coder, and sonnet-4 took a “copy”-style approach instead of “move,” which, combined with how the tests repeatedly feed the same mocked file list, produced duplicate “transfers” and non-empty results even when an error was forced—hence multiple assertion failures. The prompt’s wording (“Transfer files”) is ambiguous and likely encouraged the copy-instead-of-move interpretations, while the test suite is brittle in demanding an exact warning substring and in its mocking setup that magnifies duplicates when models loop per extension. Overall, the models weren’t wildly off; they were tripped by ambiguous phrasing and tight, phrase-sensitive checks.","Wrong Problem Mapping, Formatting Mistakes"
BigCodeBench/89,"The task is to detect and remove outliers from a dataset column using Z-scores, then return the cleaned data along with visual plots for comparison. Overall, the failures stem from two main misreads of the task’s constraints: a subtle return-type contract and the expected data type. Deepseek-v3, GPT-4o, and Qwen3-coder broadly followed the idea (standardize, score, filter, plot) but returned the outlier indices as an array instead of the tuple the tests require—an easy trap given the prompt’s wording versus the test’s strict check. Llama-3-3, Mistral-3-2, and Sonnet-4 assumed a pandas/DataFrame workflow (e.g., dropping rows by index), but the task and tests use plain NumPy arrays, so they crashed on attribute errors before doing real work. Plotting wasn’t the issue; titles and calling show() were satisfied or never reached. The prompt and doc_struct are mostly clear, but the tests’ insistence that the third return value be a tuple (not just “indices”) is a gotcha that likely caused the otherwise reasonable array return from several models.","Flawed/Incomplete Algorithm, Formatting Mistakes"
